DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1016/j.inoche.2019.02.041	V-Co/CoO@C	0	1	1	0	0	298	1.0 M KOH	14	143	10	320 
10.1016/j.ijhydene.2021.11.145	CMN-O	0	1	1	0	1	132.8	 potassium borate (0.1 M)	7.4	34	100	482 
10.1016/j.ijhydene.2019.04.259	NiFeO-400	0	1	0	1	1	125	1.0 M KOH	14	41	50	265 
10.1016/j.ijhydene.2019.04.259	NiFeO-400	0	1	0	1	1	125	1.0 M KOH	14	41	20	250 
10.1016/j.ijhydene.2019.04.259	NiFeO-400	0	1	0	1	1	125	1.0 M KOH	14	41	10	240 
10.1016/j.fuel.2021.122319	2% Gd-CeO2	0	1	0	0	0	31.69	1.0 M KOH	14	183	100	591 
10.1016/j.fuel.2021.122319	2% Gd-CeO2	0	1	0	0	0	31.69	1.0 M KOH	14	183	50	498 
10.1016/j.fuel.2021.122319	2% Gd-CeO2	0	1	0	0	0	31.69	1.0 M KOH	14	183	20	428 
10.1016/j.fuel.2021.122319	2% Gd-CeO2	0	1	0	0	0	31.69	1.0 M KOH	14	183	10	369 
10.1016/j.fuel.2021.121823	1D-CeO2/C/NF	0	1	0	0	1	74.82	1.0 M KOH	14	46	100	387 
10.1016/j.fuel.2021.121823	1D-CeO2/C/NF	0	1	0	0	1	74.82	1.0 M KOH	14	46	50	343 
10.1016/j.fuel.2021.121823	1D-CeO2/C/NF	0	1	0	0	1	74.82	1.0 M KOH	14	46	10	297 
10.1016/j.electacta.2023.142599	HEO-F-30 	0	1	1	1	1	14.8	1.0 M KOH	14	56	100	300 
10.1016/j.electacta.2023.142599	HEO-F-30 	0	1	1	1	1	14.8	1.0 M KOH	14	56	50	285 
10.1016/j.electacta.2023.142599	HEO-F-30 	0	1	1	1	1	14.8	1.0 M KOH	14	56	20	260 
10.1016/j.electacta.2023.142599	HEO-F-30 	0	1	1	1	1	14.8	1.0 M KOH	14	56	10	245 
10.1016/j.electacta.2021.139793	NiCo2S4/Fe2O3@CC	0	1	1	1	1	108.13	1.0 M KOH	14	45	100	249 
10.1016/j.electacta.2021.139793	NiCo2S4/Fe2O3@CC	0	1	1	1	1	108.13	1.0 M KOH	14	45	50	230 
